id,joke,label
54,一位家庭教师向四位小学生的家长询问孩子的特长，以便从小培养，长大成龙成凤。 家长甲：我儿子的特长是爱写儿歌。 教师：好！只要好好培养，将来可当诗人。 家长乙：我女儿的特长是爱拉二胡。 教师：好！只要好好培养，将来可当演奏家。 家长丙：我儿子的特长是爱唱流行歌曲。 教师：好！只要好好培养，将来可当歌星。 家长丁：我儿子的特长是爱吹牛。 教师：好！只要好好培养，将来可当经理。,3
55,有一回，解士美到洪洞给一家财主打短工，跑了一天路，肚子饿得直叫唤。谁知财主只给他取了两个剩窝窝，半盆稀米汤，一棵蔫大葱。他也不计较，拿起就吃，好像填了牙缝，还没觉着就完了。 财主倒心疼坏拉，阴阳怪气地问：小伙子，府上是哪里呀？ 解士美答：远！襄陵县的京安镇。 财主又问：听说京安有个恶眼人，不知你可认识？ 你请说名吧！ 听说他叫‘饿死鬼’！ 京安哪有这么个人？解士美一听，这哪是问人，明明是骂我哩嘛！看来，给这主儿干活，将来还不知得受多少窝囊气哩！干脆，不吃他这碗饭啦，给他点厉害看看！解士美就装作没听出话里的音，说：嗯，就算知道吧。 那财主一听，觉得好笑，又问：那他这会干啥？ 解士美把眼一闭，说：合眼窝啦！ 财主把合眼窝当成是说死啦，感到奇怪，就追问：因为啥？ 唉！他受苦受累一辈子，偏生了个忤逆不孝的儿子。他儿子嫌他吃得多，一见面就骂 他是‘饿死鬼’。你想，当老子的拿血汗养活他，怎能受下这号窝囊气？所以，一生气，就把眼窝全合住啦！ 财主愣了。,1
56,犯罪不付钱。这是否意味着我的工作是犯罪？,3
57,记者：科比先生，詹姆斯打破了您的一项记录，您对此有什么看法？ 科比：詹姆斯是谁？ 记者：……（晕倒）,3
58,古希腊寓言作家伊索是个奴隶。一天伊索的主人要去浴室洗澡，他把伊索叫来说：到公共浴室里去看看，今天洗澡的人多不多。 伊索走到公共浴室门口，看见往浴室里走的人非常多。他刚要转身回去告诉主人，忽然发现浴室门口有一块石头，碍手碍脚，也不知是谁把它放在那里的。进出浴室的人，只要稍不小心，就要被这块石头绊倒。可是被绊的人总是将那个放石头在这里的人咒骂一句，然后爬起身走开，从没有人动手将这块石头移开。 伊索站在那里心中暗暗好笑时，忽然又见到有一个人被石头绊倒了。那人也骂了一句：哪个该死的将石头放在这里！ 这个人爬起身后，却动手将石头移开，然后才走进浴室去。 伊索回去对主人说：今天浴室里只有一个人。 主人听了大喜说：只有一个人吗？那真是好机会！可以舒舒服服地入浴一次了。 他吩咐伊索赶紧收拾衣物跟他去。 到了浴室，伊索的主人发现里面挤满了人，便责备伊索说：里面这么多人，你为什么告诉我只有一个人？ 伊索就将他在浴室门口见到情形告诉主人，并说：别人被石头绊倒后，只晓得骂人，从不想将石头搬开，只有一个人在绊倒之后，想到将石头搬开，以免再绊倒别人。因此我认为只有他才配得起是一个人，我一点也不曾说谎。,1
59,某大龄剩女在一次相亲上拐弯抹角地打听男方家底：“你最经常用的交通工具是什么？” 男方回答：“飞机、动车。” 女方觉得男方属于高档商务白领，遂嫁之。 婚后却发现男方是个民工，骑一辆破自行车上下班。 女怒道：“当初你居然骗我！” 男茫然答道：“没骗你啊，我说的就是非机动车。”,5
60,有位妻子给丈夫买了两条领带作为生日礼物。 第二天早上，丈夫高高兴兴地系上一条新领带。 妻子见了怒曰：“你什么意思，你是不是不喜欢另外一条啊！”,1
61,吃完晚饭，我和老婆都懒得洗碗， 我提议：“要不咱们猜拳吧？输的人洗！” 她摇摇头娇羞地说：“才不要呢， 人家是淑女来着，猜拳这么粗鲁！” 我想了想又提议：“那咱们猜硬币吧！” 说罢，我从口袋里掏出一枚硬币。 突然她怒道：“你竟然敢藏私房钱！！！ 罚你洗碗三天。”,5
62,男女相亲见面，男方很不满意女方相貌，正好来一电话，男方接电话道：“喂~~嗯~~，没干嘛，看电影呢~~哥斯拉。” 这是女方电话也响了起来，女方接电话道：“喂~~嗯~~，没干嘛，看电视呢~~奥特曼。”,3
63,昨天跟老公去领了结婚证， 我爸爸看了深沉的说了句：“国家已经承认你们了，但民间还没有承认。”（举行婚礼还有四个月） 老公在回家路上一直做深思状，他说：“老婆，我突然发现国家对我们真好啊。” 我惊怎么突然这种感慨，他说你看国家承认我们只花了9块，民间承认我们却要花几十万…… 好有见解的老公。。。,5
64,妈妈对儿子说：“想当初嫁给你爸时，大家都说是一朵鲜花插在牛粪上！” 儿子说：“那你为什么还要嫁呢？” 妈妈说：“唉！牛粪也不好找啊！”,5
65,哥哥参加科举考试，快要发榜时，叫弟弟迂公前去看榜。一看哥哥中了进士，迂公便死死盯住红榜上哥哥的姓名，眼睛眨也不眨。天晚了，还不离开。 哥哥派人四处寻找，才发现迂公在榜下盯看得很苦，便召唤道：为什么不走，守在这里有什么好处？ 迂公答道：唉，你不知道，世上同姓同名的人很多，我一走，如果来了冒充我哥哥姓名的人，怎么办呢？,1
66,昨天我过生日，老婆给我买了两双鞋子，今天生日过完了，老婆就把鞋拿去退了。,5
67,幽默的老爸常会不定时的说出爆笑的话。 记得是在一个无聊的周末，我和老爸说好要去一间常去的小火锅店，那儿的价格都不贵，爱吃牛肉的我跟以前一样，点个牛肉火锅。 牛肉送来时，我发现牛肉比以前少了五分之一，就很不高兴的跟老爸说，老爸却很正经的说：『也许是现在的牛肉涨价了，老板一定是有苦衷的。』 当我还在佩服我老爸能如此宽宏大量时，他又冒出了一句说：『你的牛肉放好一点，小心被风吹走………』,3
68,从前有个老妖怪要给自己老娘祝寿，备了一车金银，想挑个可靠的心腹送过去。 一小妖主动自荐：小的从来视金钱如粪土。 老妖怪遂委派他押车。不想这小妖竟半路卷了金银遁去无踪。 老妖怪拍案大怒，严查捉拿此妖。一会小的来报：报，大王，此妖叫屎壳郎。,5
69,巴格达市的哈里发每年都要举行一次盛大的宴会，邀请各界名流赴宴。今年的盛宴有三千人参加，其中也有阿凡提。 这是一年一度的盛宴，每年的主要菜肴都与以往不同。这样才能证实和体现哈里发家族的豪华与富有。 简短的仪式过后，歌舞开始了。接着用大银盘盛着的美味佳肴陆续端了上来。最后，最精彩的一道菜一只烤全孔雀也端上来了。 这只烤全孔雀表现出烹饪师傅绝妙而精湛的手艺。羽毛上闪着蓝宝石的光辉，翅膀、腿、嘴也十分精制，看上去栩栩如生。 人们望着这件一流的艺术品惊呆了，不断发出惊喜的赞叹，谁也不愿意动手破坏它的完美。 这时阿凡提的肚子饿得咕咕直叫，周围人却没有丝毫动手吃的意思。他灵机一动，突然站起来，喊道：喂，朋友们，快动手把它消灭掉，它看上去就要复活了，如果它复活了决不会轻易放过我们这些摧残它生命的人，在它还没有复活之前我们先消灭它。说完，阿凡提就动手大口大口地吃了起来。,1
70,"患者：“大夫，我的记忆力越来越差。” 大夫：“差到啥程度？请举个例子。” 患者：“我上公共汽车，老是忘记买票，上饭店吃饭，总是不付款就走。"" 大夫：""你先把医药费付清了，我再替你看病。”",5
71,城里的一家当铺，对待穷人的典当，又狠毒又刻薄。二拐子诚心要整治他们一下。 这天，二拐子拿了一件千层补丁的褂子要典当。当铺的掌柜让账房先生写个抽据，连同两个铜板，扔给了二拐子。 一年过后，二拐子拿着当铺的抽据和应付还的铜板，来抽那件破褂子。可是，伙计没找到，原来，他们认为二拐子对他的那件破褂子，只能当，不能抽，便撕成抹布用了。 二拐子却信口念叨起来：褂子年头古，留给儿孙福。 补丁三千块，针脚三万五，两钱汗渍花，二两油腻土。 夏穿凉嗖嗖，冬穿热乎乎。价码折铜板，是够十天数。 当铺不得不赔礼道歉，最后给了他30两银子，才算了事。,1
72,墨菲定律只有在你试图证明它时才会失败。,3
73,有一家人家，凳子腿都是用现成的树丫杈做的。有次碰坏了一条凳腿，父亲便叫十二岁的儿子上山去找根树丫来修理。 儿子拿把斧子，上山去了一天，两手空空回来了。父亲很生气，骂了他一顿，他很委屈他说：山上的树丫杈有的是，不过，都是朝上长的，没有朝下长的，怎能做凳腿呢？,3
74,今天坐公交车看到一群老年人拿着老人免费卡坐了一站路就下车， 这一站路还是小站。我想说老年人有这么脆弱么？ 还有力气上公交的不至于这点路都走不动吧！,1
75,从前有个少爷，平日吃喝玩乐，游手好闲，把他父亲留下的遗产都花光了，临近年关，连柴米也没有。除夕夜，这穷困潦倒的少爷写了一副对联自嘲，贴于门口： 行节俭事 过淡泊年 村上有位老学究读后，慨叹不已，在对联的联首各加上一字，成了： 早行节俭事免过淡泊年。,1
76,编写错误的程序比理解正确的程序更容易。,3
77,好：你有一个为期三天的周末。坏：周五你得了流感。,3
78,一只老鼠掉进了阿凡提家装满水的水缸里。小阿凡提冲爸爸喊道：爸爸，一只可恶的老鼠掉进我们家的水缸里了！ 哎呀，快把它捞上来！爸爸喊道。 不用，爸爸，我把我们家的猫扔进水缸里了！小阿凡提口答说。,3
79,一男士到书店买书， 问：《幸福的婚姻生活》在哪里？ 店员：该书属于幻想类小说，在第一排。 男士：《夫妻相处之道》呢？ 店员：该书属于武打类小说，在第二排。 男士：《理财、购房要义》？ 店员：那是妄想综合症，属精神病类，在第八排。 男士：《男人应该是一家之主》？ 店员：这里不卖童话书！,3
80,贫子途遇监生，忽然抱住兜耳一口。生惊问其故，答曰：我穷苦极矣，见了大锭银子，如何不咬些飞边用用。,5
81,有个刚怀孕的同事，有次和另一个女同事下班打的回家，突然1个大拐弯，2个人挤到一起。 同事说：哎呀，我们3个都挤到一起去了。 司机很惊恐的说：你们不是上来2个人吗?,3
82,一个陌生号码给我发了条信息：“妈，我生活费没了，你再给我打几百过来，还是原来的号 XXXXXXXXXXXXXX 。” 我愣了5秒钟，这样回了过去：“孩子，你是从未来“穿越”回来的吗？能告诉我我什么时候才可以遇见你爸爸么？”,1
83,大学新生开学，同学她爸送她上学。 中午我们一块去饭店吃饭，要了个几个菜，都快吃完了，她指着一个菜问她爸：“爸，您说这萝卜怎么雕的花，每片都有一样多的窟窿眼？” 她爸怒曰：“这是藕！！！”,5
84,有一次我给儿子洗澡，儿子身上糙地埋了咕汰，却黑却黑地，我说：“你比奥巴马还黑啊。” 儿子：“爸爸我要骑奥巴马。” 我：“啊？奥巴马不能骑。” 儿子：“我就要就要骑奥巴马。” 我：“奥巴马他不是人，噢不对，他不是马，是人，骑不了。” 儿子：“你不带我骑我不跟你玩了，我找爷爷，让爷爷带我去骑奥巴马。”,3
85,有位老大爷去银行办事，突然想上厕所，就问保安：“你们这里卫生间在那儿？” 保安热情的说：“您随我来。”，然后就带他去了卫生间。 卫生间门口，老大爷夸道：“我去了那么多银行，就数你们的银行服务最好、最到位，连上厕所都有专人引导！” 保安笑笑答道：“那里，那里，正好我也想上厕所！”,3
86,一位教师打牌很上瘾，预备铃响后，余兴为尽，匆匆去上课。 刚走上讲台便问道：该谁洗牌了？学生们迷惑不解。,1
87,老婆说：亲爱的，你看，天上有一行白鹭在飞耶，好漂亮呀！ 老公说：别嚷那么大声，你这个色盲！那是大雁！,3
88,老爸说：“你们现在的答题卡怎么像彩票一样？？” 儿子答：“其实性质差不多。~”,5
89,一位朋友在办公室受到领导批评教育：小王同志啊，虽然这电脑是你打了报告组织上买给你用的，可是你也不好这么狂妄嘛！ 可怜的他只好把电脑桌面图标的名字改为大家的电脑。,5
90,学校屡屡发生自行车失窃事件，有关领导责成有关部门加强防范。一天，两名保安人员巡逻到东宿舍区，发现有几个行迹可疑的年轻人正在停车棚外排徊张望，恐其人多势众，不敢上前查问。于是，两名保安立即用对讲机向保卫科要求增援。十分钟后，十余名增援人员急急赶来并形成合围之势。谁知那几个被包围的年轻人反倒迎了上来，并且低声说道：我们是校学生会的，今天刚开始值勤。,1
91,一天和同学聊天，说道我最早的名字叫陈吉思汉，我一胡姓同学大笑，你成吉思汗，我还胡必烈呢！ 尼玛，送上门的孙子啊……,5
92,每天吃一个苹果可以让医生远离医生，但如果医生很可爱，那就忘掉了水果吧！,3
93,夫妻俩正在家中看电视。 电视新闻中播放道：“现在70%的男人都希望发生婚外恋。” 丈夫听后，忙说：“那我一定是那30%的男人，骗人我是王八蛋！” 接着，新闻继续报道：“其他30%的男人已经有了婚外恋。”,5
94,疯人院新任院长走到一个病人跟前，问他何以进入疯人院。医生，是这样的。我娶了一个有成年女儿的寡妇。我父亲娶她的女儿为妻，所以我太太成了她公公的岳母，她女儿成了我的继女和继母。继母生了个儿子，这个孩子成了我的弟弟和我太太的外孙。我也有了一个儿子，他成了他祖父的内弟，和他自己叔父的叔父。 另一方面，我父亲提到他孙子的时候，说是他的内弟，我的儿他的姐姐作祖母。我现在认为我是我母亲的父亲，我孙子的哥哥，我太太是她女婿的女儿，是她孙子的姐姐。现在我不知道我是自己的祖父，我弟弟的父亲，还是我儿子的侄子，因为我的儿子是我父亲的内弟。院长，这就是我来这里的原因。我觉得在这里比在家里平静。,1
95,县官非常宠爱县里的门子（男色，明朝士大夫好男色成风）。 一天，他忽然见一个下属同门子说悄悄话，心生醋意。那个下属心慌，就辩白说：他是我的表弟，我们在讲家事。 县官就出了个对子叫他对道：‘表弟非表兄表子’，你如能对出就可免罚。 下属对道：丈人是丈母丈夫。县官大笑，赏酒给他吃。,1
96,乌贼鱼善放黑水，并以此来掩护躲避其它鱼类的进攻。渐渐地，它得意起来，经常故意到海边和海鸟戏耍。 一天，一只海鸥正在沿海面低飞寻食，忽见岸边不远有团黑水，细细观察，发现黑水不时挪动位置，便断定这是一条游动的鱼。还在乌贼觉得得意地玩弄海鸟之际，海鸥俯冲而下，一口把乌贼叼走了。,1
97,一个赶着上班的人，急急忙忙的奔向正在启动的公共汽车，一边大步追赶一边大声的喊着：师父！等等我 公共汽车的司机探出头来说：悟空！你不要追了。,5
98,为什么女神创造了威士忌？保持盖尔统治世界！,3
99,今天吃饭听一个兄弟跟别人聊天！ 他朋友问他：“你会接受一个不是处女的做老婆么？” 他思考了回答：“二手房是可以买的，但是死过人那就另当别论了！” 我沉默10秒后喷了！,1
100,夫妇参加电视节目，当主持人问到：如果你单独处在到荒岛，只能选一个人与你一起生活，你会选谁？ 妻子的答案选择了：鲁宾逊！ 先生心里觉的很不是滋味，便问妻子为何不选他？ 妻子说：你会盖房子、生火、砍柴、与野兽搏斗吗？ 先生想了想然后说：既然这样，那，我也要选鲁宾逊！,3
101,老师问：巴西在哪里？ 阿呆：在地理课本五十一页。,3
102,当我了解周围人的内心秘密时，他们会以多种方式奖励我，让我保持安静。,3
